City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
187,La Ronge,CA,55.1001,-105.2842,55.65,71,75,4.61,broken clouds
188,Kuching,MY,1.55,110.3333,86.22,66,40,2.3,scattered clouds
189,Carnarvon,AU,-24.8667,113.6333,71.67,64,0,10.36,clear sky
190,Port Macquarie,AU,-31.4333,152.9167,69.76,52,19,13.53,few clouds
191,Mogadishu,SO,2.0371,45.3438,76.24,85,99,17.02,overcast clouds
192,Saldanha,ZA,-33.0117,17.9442,54.05,80,100,12.24,overcast clouds
193,Tynda,RU,55.1667,124.7167,65.43,91,100,5.68,light rain
194,Kaitangata,NZ,-46.2817,169.8464,51.37,69,81,12.97,broken clouds
195,Qasigiannguit,GL,68.8193,-51.1922,43.05,93,97,2.98,overcast clouds
196,Thomaston,US,32.8882,-84.3266,80.1,91,40,0.0,scattered clouds
197,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,92,56,6.04,broken clouds
198,Acapulco,MX,16.8634,-99.8901,80.62,86,86,5.08,overcast clouds
199,Kavaratti,IN,10.5669,72.642,81.25,78,100,14.92,overcast clouds
200,Saint-Philippe,RE,-21.3585,55.7679,69.39,81,49,13.33,light rain
201,Quatre Cocos,MU,-20.2078,57.7625,73.09,69,85,14.7,overcast clouds
202,Chuy,UY,-33.6971,-53.4616,62.85,96,96,6.8,overcast clouds
203,Bara,NG,10.3744,10.7288,70.27,98,100,5.64,overcast clouds
204,Xiamen,CN,24.4798,118.0819,87.85,70,40,4.47,scattered clouds
205,Lata,PT,40.1629,-8.3327,57.34,91,18,1.74,few clouds
206,Sioux Lookout,CA,50.1001,-91.917,79.18,68,20,3.44,few clouds
207,Marawi,PH,7.9986,124.2928,76.64,59,37,3.42,scattered clouds
208,Soure,BR,-0.7167,-48.5233,79.11,81,5,6.4,clear sky
209,Port-Gentil,GA,-0.7193,8.7815,74.41,88,100,15.82,moderate rain
210,Esperance,AU,-33.8667,121.9,61.32,68,2,17.16,clear sky
211,Toamasina,MG,-18.1667,49.3833,66.2,94,75,3.44,broken clouds
212,Vestmannaeyjar,IS,63.4427,-20.2734,53.89,87,100,12.1,overcast clouds
213,Fare,PF,-16.7,-151.0167,77.13,66,95,19.06,overcast clouds
214,Vaitape,PF,-16.5167,-151.75,77.43,65,23,22.62,few clouds
215,Verkhoyansk,RU,67.5447,133.385,61.0,71,100,4.59,overcast clouds
216,Pasni,PK,25.2631,63.471,79.57,75,59,11.41,broken clouds
217,Gat,IL,31.61,34.7642,75.4,100,0,2.21,clear sky
218,Komsomolskiy,UZ,40.4272,71.7189,81.32,28,0,6.91,clear sky
219,Monster,NL,52.0258,4.175,64.38,85,98,5.99,overcast clouds
220,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,22,0,9.22,clear sky
221,Berlevag,NO,70.8578,29.0864,48.2,96,100,27.4,light rain
222,Cayenne,GF,4.9333,-52.3333,80.1,87,0,0.0,light rain
223,Zwedru,LR,6.0667,-8.1281,66.85,94,42,1.34,scattered clouds
224,Ondjiva,AO,-17.0667,15.7333,56.3,20,0,6.26,clear sky
225,Arraial Do Cabo,BR,-22.9661,-42.0278,70.38,87,1,28.07,clear sky
226,Ponnani,IN,10.767,75.9252,74.52,80,100,2.06,light rain
227,Saint-Jean-De-Braye,FR,47.913,1.9771,60.28,82,90,5.75,overcast clouds
228,Baringo,KE,0.4667,35.9667,66.34,61,59,5.97,broken clouds
229,Codrington,AU,-38.2667,141.9667,60.26,65,4,13.44,clear sky
230,Chokurdakh,RU,70.6333,147.9167,64.9,39,100,4.16,overcast clouds
231,Katsuura,JP,35.1333,140.3,86.11,77,4,16.96,clear sky
232,Lakes Entrance,AU,-37.8811,147.981,63.57,56,50,7.4,scattered clouds
233,Mehran,IR,33.1222,46.1646,90.88,13,0,1.9,clear sky
234,Terdal,IN,16.5,75.05,76.24,75,100,13.15,overcast clouds
235,Kapaa,US,22.0752,-159.319,82.72,68,1,3.0,clear sky
236,Tuatapere,NZ,-46.1333,167.6833,47.82,82,100,10.6,light rain
237,Tecoanapa,MX,16.5167,-98.75,79.29,87,87,4.21,overcast clouds
238,Olavarria,AR,-36.8927,-60.3225,55.11,93,84,6.73,broken clouds
239,Stromness,GB,58.965,-3.296,51.76,90,100,3.0,overcast clouds
240,Caravelas,BR,-17.7125,-39.2481,70.88,78,79,7.94,broken clouds
241,Charlestown,AU,-32.95,151.6667,74.21,46,61,4.43,broken clouds
242,Kysyl-Syr,RU,63.8986,122.7617,58.33,82,91,1.72,light rain
243,Myski,RU,53.709,87.8014,71.74,54,58,4.32,broken clouds
244,Sept-Iles,CA,50.2001,-66.3821,64.06,89,1,3.44,clear sky
245,Namibe,AO,-15.1961,12.1522,61.36,85,0,6.76,clear sky
246,Huangchuan,CN,32.1272,115.0394,87.12,64,95,4.79,overcast clouds
247,Cuicatlan,MX,17.8,-96.9667,72.54,97,22,2.01,few clouds
248,Nacala,MZ,-14.5428,40.6728,67.53,88,0,1.1,clear sky
249,Kodiak,US,57.79,-152.4072,56.26,88,99,4.76,overcast clouds
250,Xinqing,CN,48.2333,129.5,86.23,31,96,6.38,overcast clouds
251,Coihaique,CL,-45.5752,-72.0662,37.35,93,90,5.75,light rain
252,Honolulu,US,21.3069,-157.8583,85.82,66,40,12.66,scattered clouds
253,Norman Wells,CA,65.282,-126.8329,53.64,87,75,5.75,broken clouds
254,Anicuns,BR,-16.4611,-49.9617,69.91,39,0,5.35,clear sky
255,Weinan,CN,34.5036,109.5089,89.29,44,58,4.18,broken clouds
256,Denpasar,ID,-8.65,115.2167,83.86,74,75,13.8,broken clouds
257,Pauini,BR,-7.7136,-66.9764,78.89,48,4,1.05,clear sky
258,Fort-Shevchenko,KZ,44.5086,50.263,88.66,29,0,12.08,clear sky
259,Honiara,SB,-9.4333,159.95,84.85,71,42,4.47,scattered clouds
260,Goderich,CA,43.7501,-81.7165,72.91,88,96,5.75,overcast clouds
261,Ribeira Brava,PT,32.65,-17.0667,70.43,61,0,3.76,clear sky
262,Sembe,CG,1.6481,14.5806,69.85,98,100,3.09,overcast clouds
263,Srednekolymsk,RU,67.45,153.6833,68.29,38,95,4.63,overcast clouds
264,Kavieng,PG,-2.5744,150.7967,84.36,64,96,2.15,overcast clouds
265,Ibra,OM,22.6906,58.5334,78.62,66,22,3.44,few clouds
266,Tanout,NE,14.9709,8.8879,83.3,49,80,7.47,broken clouds
267,San Andres,CO,12.5847,-81.7006,82.42,83,20,3.44,few clouds
268,Airai,TL,-8.9266,125.4092,77.05,37,6,3.96,clear sky
269,Najran,SA,17.4924,44.1277,81.25,35,82,5.01,broken clouds
270,Ixtapa,MX,20.7,-105.2,80.22,83,90,0.0,overcast clouds
271,Suileng,CN,47.25,127.0833,77.94,72,87,12.62,overcast clouds
272,Eldorado,BR,-23.7869,-54.2836,73.53,35,0,8.68,clear sky
273,Ulagan,RU,50.6321,87.9563,68.0,46,31,2.91,scattered clouds
274,Inhambane,MZ,-23.865,35.3833,66.38,91,0,11.21,clear sky
275,Nicolas Romero,MX,19.6219,-99.3131,66.43,84,26,3.71,scattered clouds
276,Deniliquin,AU,-35.5333,144.9667,63.0,50,56,5.64,broken clouds
277,Jawor,PL,51.0513,16.1935,59.88,79,96,9.31,overcast clouds
278,Xucheng,CN,20.35,110.1288,88.5,65,32,3.13,light rain
279,Eureka,US,40.8021,-124.1637,59.13,79,4,5.99,clear sky
280,Erenhot,CN,43.6475,111.9767,83.23,31,0,23.22,clear sky
281,Kanalion,GR,39.6056,19.8925,76.24,78,0,0.0,clear sky
282,Matara,LK,5.9485,80.5353,81.81,74,82,13.38,broken clouds
283,Bani Walid,LY,31.7566,13.9942,74.21,68,0,1.92,clear sky
284,Pisco,PE,-13.7,-76.2167,62.65,82,90,2.3,mist
285,Lazaro Cardenas,MX,17.9583,-102.2,80.51,80,96,2.01,overcast clouds
286,Bartica,GY,6.4,-58.6167,73.42,99,68,1.1,broken clouds
287,Antofagasta,CL,-23.65,-70.4,58.28,83,2,1.88,clear sky
288,Ambilobe,MG,-13.2,49.05,73.26,55,57,2.89,broken clouds
289,Ciudad Bolivar,VE,8.1222,-63.5497,74.35,91,100,4.97,overcast clouds
290,Hervey Bay,AU,-25.2986,152.8535,75.31,61,10,13.8,clear sky
291,Malakal,SS,9.5334,31.6605,74.5,84,100,1.32,overcast clouds
292,Mbandaka,CD,0.0487,18.2603,67.5,96,100,2.73,light rain
293,Pevek,RU,69.7008,170.3133,47.75,59,93,13.31,overcast clouds
294,San Jeronimo,PE,-11.9472,-75.2829,47.46,77,7,1.72,clear sky
295,Cayhagan,PH,9.6697,122.4256,84.47,69,29,6.46,scattered clouds
296,Altamont,US,42.2068,-121.7372,64.24,48,1,13.8,haze
297,Moshenskoye,RU,58.5102,34.5911,55.27,82,76,6.67,broken clouds
298,Aksay,RU,47.26,39.87,73.72,44,10,7.47,clear sky
299,Vila Do Maio,CV,15.1333,-23.2167,77.79,84,99,6.76,overcast clouds
300,Kesova Gora,RU,57.5836,37.2922,59.54,79,88,4.25,overcast clouds
301,Khandyga,RU,62.6667,135.6,57.83,81,77,2.59,broken clouds
302,Fort Nelson,CA,58.8053,-122.7002,58.59,63,75,5.75,broken clouds
303,Dubbo,AU,-32.25,148.6167,64.53,42,75,8.05,broken clouds
304,Suntar,RU,62.1444,117.6319,66.18,60,81,2.21,broken clouds
305,Carroll,US,39.5501,-77.0164,79.12,79,75,5.99,broken clouds
306,Bang Saphan,TH,11.2126,99.5117,91.35,52,98,2.28,overcast clouds
307,Manakara,MG,-22.1333,48.0167,63.18,88,1,4.63,clear sky
